ocean_delay_days,cost_increase_pct,current_stock_days,order_qty,optimal_air_qty
38,0.14133368027057952,6,13773,13773
28,0.230434367634826,25,20000,6816
14,0.3356522117821399,8,13773,5985
42,0.0810916862039387,26,20000,15527
7,0.24322119357093724,17,13773,403
20,0.3692695197379538,16,20000,7765
38,0.433427606513533,6,20000,20000
18,0.31312963733121335,2,13773,10972
22,0.33452675765847395,21,20000,5694
10,0.06314173629228448,23,13773,272
10,0.4728882486231736,23,13773,0
23,0.06628703874224118,10,20000,13710
35,0.38733646859089915,27,20000,9871
39,0.1324081608891594,22,20000,16079
23,0.4667965718506258,6,13773,10905
2,0.35997976968473977,23,13773,202
21,0.3769068564891845,7,13773,10024
1,0.10952958652994166,4,13773,1714
23,0.2215199883175804,7,13773,10135
43,0.3089065972946432,9,13773,13773
29,0.38498680910330046,7,13773,13624
37,0.05197968795619479,17,13773,12865
1,0.4811826582272642,17,13773,268
20,0.445110335277278,22,20000,3608
32,0.13517429524779218,4,13773,13773
11,0.411380121516166,18,13773,221
21,0.2591619615199117,22,20000,4644
43,0.23090324078100932,7,20000,20000
24,0.1572170529057027,7,13773,10653
26,0.2904842933157962,23,20000,6708
41,0.3649445588517989,20,20000,18947
27,0.20546645248137912,21,13773,6033
15,0.31460959650414605,16,13773,3289
14,0.3496564605776519,20,20000,408
43,0.35556090850764294,3,13773,13773
2,0.025983049065590125,9,20000,428
36,0.42987390284253346,8,13773,13773
6,0.22912665738252397,9,13773,1931
20,0.13120804084810722,14,20000,9087
8,0.1208822537398408,23,20000,64
38,0.24150705642197523,16,20000,19123
17,0.4434157697344796,13,20000,7715
3,0.18917379084132346,16,20000,51
24,0.37486287339177166,15,13773,7279
13,0.0484093654936093,8,13773,6002
8,0.2380283510755309,18,20000,0
25,0.4958430701963678,27,20000,3153
1,0.3852189013961685,6,20000,1062
19,0.1052642442203065,21,13773,2660
27,0.25072073684895535,11,13773,10687
6,0.11681238182428327,20,20000,0
43,0.20478046363125463,19,13773,13773
7,0.3900420118674824,26,13773,422
34,0.3856124076452018,25,20000,10524
13,0.11405018895119257,11,20000,5454
16,0.46111165907743007,3,13773,9208
35,0.2962840913824134,7,13773,13773
39,0.18996214548100726,4,13773,13773
3,0.2509677903904303,20,13773,24
1,0.30253562671887185,6,13773,785
5,0.2799452659228927,8,20000,2498
41,0.2432025177680891,8,13773,13773
3,0.25246640204470006,11,20000,0
28,0.08820595521394309,2,20000,20000
17,0.4063664521523397,12,13773,5480
25,0.2708801599705077,24,20000,4735
43,0.06553993085235155,8,13773,13773
33,0.38307855079138897,7,20000,20000
9,0.4662219891886754,7,13773,4274
35,0.47365344961848105,14,20000,18494
13,0.18450886620558637,17,13773,1257
30,0.06775843678037702,14,13773,10366
14,0.2591998133165326,3,20000,12202
7,0.05630461467461034,20,20000,0
13,0.4669937092563086,20,20000,283
22,0.091789813677573,20,13773,4494
39,0.12638292997558204,19,20000,17913
20,0.20331826344248521,26,20000,457
15,0.1915822342795629,7,13773,6760
44,0.3973314461989445,3,13773,13773
17,0.22815841027548117,20,20000,2481
23,0.08538413000166845,27,20000,1947
25,0.13360494774303705,7,13773,11541
24,0.254556692593761,21,13773,4754
44,0.07372695871306745,24,13773,12426
40,0.30582783782300704,23,20000,16532
28,0.28287365327557296,16,20000,12737
14,0.35735115819112884,7,13773,6382
44,0.46885230768968383,4,13773,13773
0,0.45612728055057783,12,13773,0
24,0.47303780903441567,9,20000,14828
6,0.12235779851185047,26,20000,0
8,0.06578265331967731,23,20000,385
23,0.15113835024822425,19,20000,7742
0,0.4475425863831573,18,13773,0
43,0.4860267373117441,20,13773,13511
7,0.429662475535238,20,20000,0
23,0.0550088605637718,25,13773,2363
10,0.4737139990298966,22,13773,0
16,0.211679013675393,18,20000,3307
7,0.0046551453811768395,5,13773,3963
34,0.2211968703740968,8,20000,20000
34,0.023034584837733796,6,20000,20000
32,0.2719389605805588,27,20000,7830
4,0.16927701371852566,17,13773,254
41,0.23671746679702438,7,20000,20000
38,0.3065851803715585,15,13773,13773
40,0.43440054790891014,27,13773,9800
27,0.3309507882359643,21,20000,8956
6,0.21702443423909035,3,20000,6545
8,0.40971392683518254,26,20000,0
7,0.4527910687865661,19,20000,280
11,0.05987998321609861,19,20000,0
33,0.2659664887763957,14,13773,11938
32,0.14225597987122207,19,13773,9399
22,0.0235305989384737,18,13773,4747
23,0.3342733475569927,14,20000,10347
36,0.4313853887296128,13,20000,19604
34,0.08145132723869702,4,13773,13773
43,0.40620682881195025,23,20000,18509
39,0.4266978667684708,8,13773,13773
21,0.45717022133324176,2,13773,12481
26,0.1326425445430262,6,13773,12205
34,0.45197653259494464,22,20000,12122
0,0.16033137736821612,2,20000,3844
34,0.2761690067277514,5,13773,13773
36,0.025253735416141065,27,20000,10921
13,0.021940544184371802,2,20000,11687
2,0.36018660636610145,14,20000,29
0,0.22223998898889552,15,13773,47
4,0.12814618768460878,16,13773,0
25,0.0952067480124551,18,13773,6172
13,0.33497674542960904,13,13773,2643
38,0.00020077201266993638,8,13773,13773
26,0.4029455845984271,24,20000,5138
8,0.03962480306496441,20,13773,0
14,0.09574480745405972,24,20000,0
14,0.1931181976495448,4,13773,7454
25,0.2424293698580518,19,20000,8786
41,0.17749755790697092,27,20000,13896
12,0.16035608249214695,5,13773,6346
31,0.4819580060365942,27,20000,7750
38,0.32078984062169713,4,20000,20000
31,0.011716477683694104,13,20000,16802
3,0.2150879542221566,24,20000,0
29,0.4375043498719851,13,20000,15409
36,0.15072809320533398,18,20000,16635
22,0.04727817238719412,7,13773,10127
38,0.3791923857949589,16,20000,18965
44,0.30300691596804064,3,13773,13773
14,0.28515625391325194,9,20000,7896
42,0.026788279803703963,15,20000,20000
28,0.07024950489775866,6,20000,18901
35,0.3112746981065569,4,20000,20000
12,0.1039119207294179,11,20000,5121
31,0.25203503987421216,8,20000,20000
6,0.27244084301469673,12,20000,967
21,0.1417535951354697,16,20000,7893
27,0.47421257777074644,3,13773,13773
1,0.4212320534177876,6,13773,1352
41,0.36118675381639925,12,13773,13773
44,0.03899693320470454,9,13773,13773
5,0.05306500965450972,14,20000,0
27,0.24639067293247785,12,20000,14643
27,0.08035667459549284,18,20000,10344
43,0.48913273176473704,16,13773,13773
43,0.07926011701370472,2,13773,13773
19,0.243733917731987,20,13773,2744
29,0.1820605284207527,17,20000,12755
10,0.319693210727049,20,20000,333
27,0.06451820444471246,14,13773,8728
24,0.21515821402119545,24,20000,4476
38,0.13735251640357182,23,20000,15009
32,0.443875762335844,24,20000,10739
0,0.020292856067347542,5,13773,596
26,0.4568637470032296,12,20000,13812
12,0.4164970692765002,19,13773,0
40,0.14878535822040773,19,13773,12243
2,0.39464532733855234,11,20000,82
38,0.01560678016937378,18,20000,18178
5,0.4834327751466968,14,20000,0
7,0.26329747129489467,26,13773,0
26,0.15164051303272263,15,13773,8230
8,0.18129160629733854,8,20000,4496
36,0.03320267673024868,11,20000,20000
32,0.4946747570210196,4,13773,13773
41,0.019645972575346227,3,13773,13773
43,0.3274535615739295,20,13773,13688
23,0.22136796385322915,8,13773,10061
14,0.47445810909435754,6,13773,6716
31,0.12299987015339758,4,20000,20000
31,0.26604341196900566,26,13773,4759
23,0.24117810429137648,3,13773,12567
40,0.3514332220250507,24,20000,15041
11,0.034005115976210254,27,13773,0
38,0.09689456501167742,23,13773,10049
1,0.10728241004642491,7,20000,249
2,0.36907537742084484,15,13773,399
